"Link","Sigma","Rho","n","Successful_Reps","MLE","SRRE_k1","SKLE_k1","SRRE_k2","SKLE_k2","SRRE_k3","SKLE_k3","SRRE_k4","SKLE_k4","MLE_Med","SRRE_k1_Med","SKLE_k1_Med","SRRE_k2_Med","SKLE_k2_Med","SRRE_k3_Med","SKLE_k3_Med","SRRE_k4_Med","SKLE_k4_Med","Clamp_Rate","Conv_Rate","Mean_k1","Mean_k2","Mean_k3","Mean_k4","K4_Binds","Prov_Hold_k1","Prov_Hold_k2","Eq32_Hold_k1","Eq32_Hold_k2","Eq32_Val_k1","Eq32_Val_k2","Eq32T_Hold_k1","Eq32T_Hold_k2","Eq32T_Val_k1","Eq32T_Val_k2","SignFlip_k1","SignFlip_k2","SignFlip_k3","SignFlip_k4"
"logit",1,0.99,200,1000,0.522492302999513,0.153489858669931,0.0662631305122508,0.273265115695128,0.119251006605818,0.459861344424653,0.401629426572186,0.273513409855264,0.118438544270611,0.423054455746589,0.0695062667749308,0.0269917690527674,0.192989184546011,0.0553614378401165,0.361902208492274,0.306809657999913,0.192989184546011,0.0538178782666961,0,1,15.4165715799514,3.64420546169808,0.46064180036768,3.44783889514261,0.035,0.596,0.965,0,0,16.4135060930895,6.25234865965859,0,0,7.81127453739448,3.97766456584237,0.00275,0.0075,0.055,0.00725
"logit",1.5,0.8,25,1000,0.347452949787865,0.150547000351515,0.194355950039985,0.218932419443729,0.136267971751092,0.315795563024958,0.286262720987609,0.218880414028102,0.135476495986652,0.241808086963251,0.0977726645080393,0.0821068206483241,0.14956580159346,0.0837947546152437,0.221153975319968,0.200171857421325,0.14956580159346,0.0837171665546274,0,1,41.7629128547479,6.13021780045292,0.779313631339647,5.95789434830618,0.027,0.557,0.973,0,0,21.569378419342,6.53588024104574,0,0,12.4928898995481,4.79417409729711,0.0375,0.0085,0.03075,0.0085
"logit",1.5,0.8,50,1000,0.135982376233959,0.0824914036589346,0.142375361765515,0.100194015938643,0.074662048777996,0.129509229094259,0.123240276791844,0.0999001926605962,0.073418068520233,0.103707382461879,0.0547731934390482,0.0502646259446814,0.0736660413566197,0.0485233311565399,0.098841044945105,0.0941338543202511,0.0730534270824281,0.048344813360399,0,1,82.7452188547744,9.91421396739994,0.881770201670235,9.49527530796276,0.01,0.637,0.99,0,0,32.151921431851,8.40454310327613,0,0,25.9227381001324,7.54807017173118,0.025,0.00225,0.003,0.002
"logit",1.5,0.8,100,1000,0.0640324100330665,0.0538290295876211,0.119533547305796,0.0524533943968356,0.0451184329645273,0.0624419648949138,0.0608765952719414,0.0518430463909305,0.0424464580579164,0.0514254353214894,0.0334664985474784,0.034013840242024,0.0398101745659803,0.0305253036811614,0.0501703142641384,0.0489430750244999,0.039603868997669,0.0304381123232981,0,1,169.023820893889,16.6051659954978,0.942431298535499,14.0622336108662,0.006,0.73,0.994,0,0,54.0367624945798,11.0737939863942,0,0,49.1919278740811,10.3727395356276,0.02125,0.001,0,0
"logit",1.5,0.8,200,1000,0.0322668842468582,0.0352342738306495,0.0866032056590796,0.0278922085142077,0.0246221148384353,0.0318748753669921,0.0314860826498492,0.0278460138661197,0.0244365700817074,0.0260808627534368,0.0204462125275842,0.0221419636962313,0.0219963872558888,0.0185218152401663,0.0257601438860561,0.0254549285165127,0.0219569792477806,0.0185218152401663,0,1,242.190950841802,20.2182736630281,0.964578478773305,19.8791723434514,0.002,0.793,0.998,0,0,93.1467364565865,15.0067716026917,0,0,88.7134721390504,14.6212247413854,0.0165,0,0,0
"logit",1.5,0.9,25,1000,0.792503378566256,0.238367134173546,0.190823311622422,0.410476789257928,0.195132573591823,0.681164973409699,0.581284103929726,0.411083664176991,0.192415480087853,0.577657398326748,0.117181132275827,0.100717399571575,0.278023957441668,0.099985808765989,0.480877480918108,0.398446595399667,0.27909744834537,0.0961481987277018,0,1,22.227885325241,4.33434791354808,0.621104303104255,3.82684385538874,0.068,0.455,0.932,0,0,15.4103876811724,5.72793400330945,0,0.001,5.82967494792968,3.05502217127022,0.02975,0.022,0.084,0.022
"logit",1.5,0.9,50,1000,0.318501249147478,0.121749566646153,0.115463515388161,0.204547219018219,0.126084694343012,0.290945616555287,0.264928908861542,0.204539354133653,0.125591462449571,0.24437540146037,0.0652226149756131,0.0419084683098561,0.144873020151243,0.0697674990015633,0.220918577580188,0.200397601734407,0.144873020151243,0.0682092354221585,0,1,54.1212748069837,6.26810562736092,0.779999564933324,5.97968650567419,0.023,0.565,0.977,0,0,19.2532562774392,6.04810157167975,0,0,12.1170443926532,4.72204180986896,0.01575,0.007,0.025,0.007
"logit",1.5,0.9,100,1000,0.147548483653761,0.0648112443636063,0.0704107400430593,0.106546006402066,0.0754718874411756,0.140340787728313,0.133334047543091,0.106554829407263,0.0753654612219239,0.116436515532714,0.0382156776325147,0.0243946975503234,0.0777255353689083,0.0473548276724276,0.110269724231932,0.103840476845848,0.0777255353689083,0.0473548276724276,0,1,76.4554993474465,9.31511819275865,0.881806619697099,9.14650324600505,0.01,0.64,0.99,0,0,29.6992918090374,7.74550044425008,0,0,23.9580796386391,6.86218550955235,0.0095,0.00125,0.00325,0.00125
"logit",1.5,0.9,200,1000,0.0669223300578401,0.0327142443894036,0.037396487245286,0.0526663295873279,0.0410278905225001,0.0651461033547611,0.0633957346582579,0.0526588953608874,0.0409506261867567,0.053907151848663,0.0207607710851483,0.0139573372638751,0.0401304424504124,0.0289734454318165,0.052475224909872,0.0511177721860049,0.0401304424504124,0.0288784738035441,0,1,114.422740376529,13.3571537264737,0.93954856911544,13.1343471242831,0.002,0.743,0.998,0,0,54.1009301021493,10.6400784557008,0,0,49.8841817221748,9.96331828022599,0.001,0.00025,0.00025,0.00025
"logit",1.5,0.95,25,1000,1.64874222086119,0.417346839828049,0.30605948679618,0.65004012978698,0.22192898140137,1.35147185907638,1.09508876105998,0.655429711343642,0.211261084862137,1.1314038149314,0.158047805973488,0.156858175071114,0.400196059126025,0.0960058386867697,0.880792526033701,0.653287169891736,0.403363931657077,0.0896002709525512,0,1,13.2869396045548,2.84797575766893,0.46716046549074,2.41717734924069,0.144,0.369,0.856,0,0,14.3065240311063,6.34543946436862,0.008,0.028,2.95192411798586,2.05962903094156,0.0465,0.02575,0.13925,0.02275
